42,71,77,64,49,42,40,38
56,70,65,59,55,51,46,42
60,68,62,58,56,53,49,45
59,66,61,59,57,54,51,48
57,65,63,61,58,54,51,48
55,65,65,63,59,54,49,48
54,64,65,63,59,54,49,47
51,61,63,62,58,53,49,46

39,60,73,60,43,35,33,31
43,53,52,46,43,40,33,26
40,45,41,37,37,35,28,19
38,39,33,30,29,27,19,9
35,33,28,24,22,18,10,0
33,29,24,19,15,11,2,0
31,27,22,15,10,5,0,0
28,24,19,13,6,0,0,0

30,63,98,75,36,26,30,32
34,66,97,71,34,26,30,32
37,71,98,66,31,26,30,31
40,76,97,61,29,26,29,31
42,80,94,55,27,26,29,31
44,81,90,51,27,26,29,31
47,80,84,49,28,28,29,31
48,75,77,49,32,30,30,31

36,74,92,53,24,25,32,34
50,75,64,31,22,29,33,34
51,61,40,22,25,32,34,34
45,43,27,22,28,32,34,34
38,31,22,25,30,33,34,34
33,26,23,27,31,33,34,35
29,24,24,28,32,34,35,35
27,26,27,30,32,34,35,34

39,72,100,75,32,22,31,35
47,71,86,65,33,26,33,37
41,55,62,53,38,34,38,40
35,39,41,41,41,42,42,42
33,31,31,35,40,44,44,43
32,30,30,33,38,42,43,42
32,31,32,34,37,39,41,40
33,34,34,35,36,38,39,39

30,47,81,85,54,30,30,37
33,38,63,82,71,44,33,37
34,36,51,75,80,60,41,38
33,35,43,64,79,73,54,43
33,34,38,54,73,77,65,51
33,34,36,47,64,75,71,59
33,34,36,43,56,68,70,63
33,34,36,41,50,59,65,62

37,39,46,60,71,66,52,43
40,49,57,60,60,61,62,60
42,52,58,59,59,60,65,64
44,53,58,57,58,61,64,64
45,54,56,56,58,62,65,63
46,53,54,55,58,64,66,64
46,52,53,55,60,64,66,64
46,51,53,55,59,63,64,62

34,38,49,73,87,78,47,17
37,50,66,78,75,62,37,14
39,54,70,73,65,48,27,11
40,54,65,65,53,35,19,16
40,51,57,52,39,22,13,19
40,46,45,37,22,11,11,17
37,37,30,19,8,2,9,13
29,24,14,4,0,0,4,9

32,26,26,61,94,76,39,23
30,24,28,65,92,70,37,23
29,22,29,70,92,66,34,22
28,21,32,75,92,62,32,22
27,20,36,80,90,58,30,21
26,21,41,82,87,54,29,21
26,24,45,81,81,51,30,22
27,27,47,75,72,49,32,24

29,20,35,80,91,57,28,20
26,28,58,85,67,35,20,19
29,42,70,72,44,23,18,19
35,53,67,53,31,20,18,20
40,55,57,39,24,19,18,20
42,51,46,32,22,19,19,21
41,44,37,28,23,20,20,22
38,37,33,28,24,23,23,24

30,21,23,63,98,77,37,22
29,24,31,63,85,64,33,23
32,31,37,55,63,49,30,24
33,35,39,43,43,36,30,28
34,36,37,35,32,30,30,30
33,34,34,32,29,29,30,31
33,32,32,31,29,29,30,31
31,30,31,31,31,30,31,31

33,30,28,46,82,90,56,21
